,gold_ratio = 0.002 bc_ratio = 0.01,gold_ratio = 0.006 bc_ratio = 0.015,gold_ratio = 0.01 bc_ratio = 0.02,gold_ratio = 0.014 bc_ratio = 0.025,gold_ratio = 0.18 bc_ratio = 0.03,Date
29,1102.0462428185672,1098.262649725308,1094.492123502056,1090.7380844530408,1077.2511172275895,12/2/16
30,1100.1063450527417,1096.329376632926,1092.565452367311,1088.8176721395653,1075.3544274625767,12/3/16
31,1088.2102072829002,1084.4738636987604,1080.7504249674787,1077.041026040753,1063.7232564036024,12/4/16
32,1091.153395286857,1087.4068222613455,1083.6731899897288,1079.952536226971,1066.5986837179362,12/5/16
33,1094.5862829859016,1090.8278975000094,1087.0824936848792,1083.3498846517189,1069.9540065125238,12/6/16
34,1109.8244413825867,1106.0141326180387,1102.2169830392593,1098.4363369784148,1084.8541735271756,12/7/16
35,1110.176658513879,1106.3652761030412,1102.5670559630466,1098.786545848676,1085.2001412734332,12/8/16
36,1108.7596372633145,1104.9532239515297,1101.1599552712667,1097.3852977795452,1083.8162881208066,12/9/16
37,1120.0566889727113,1116.2116966800409,1112.379981305063,1108.5688758583929,1094.8617172296752,12/10/16
38,1120.0566889727113,1116.2116966800409,1112.379981305063,1108.5688758583929,1094.8617172296752,12/11/16
39,1121.4937155585953,1117.6437734016467,1113.807125331468,1109.9909651589744,1096.2662117493796,12/12/16
40,1117.109486478421,1113.274452141716,1109.4526610695227,1105.6500139556292,1091.978841438903,12/13/16
41,1119.403888970334,1115.5616313391795,1111.7326389149775,1107.9286178587122,1094.2297006268932,12/14/16
42,1118.2101748826262,1114.371913120088,1110.5469032350545,1106.7459393594033,1093.0615785449563,12/15/16
43,1136.3685992669555,1132.4574997900538,1128.5599869821292,1124.692287790884,1110.9858711730153,12/16/16
44,1135.9364356309275,1132.026823416658,1128.130792705446,1124.2645630753514,1110.5674837067625,12/17/16
45,1136.3253829033524,1132.4144321527142,1128.517067554461,1124.6495153193305,1110.9440324263899,12/18/16
46,1142.6906636401711,1138.7578104380977,1134.838619450524,1130.9494543487278,1117.0057203290585,12/19/16
47,1187.5219426451954,1183.4348016101087,1179.3618587305778,1175.320219706811,1160.483726932224,12/20/16
48,1203.0218244490898,1198.8813421142327,1194.7552432112109,1190.6609035653585,1175.4675329559184,12/21/16
49,1298.5884111577343,1294.119040575363,1289.6651958133984,1285.2458704162357,1268.0185404885683,12/22/16
50,1284.6150900326033,1280.1938078805001,1275.7878845150015,1271.4160756424542,1254.4906790797304,12/23/16
51,1286.0412331165085,1281.6150429699758,1277.2042286578276,1272.827570160603,1255.8713577183644,12/24/16
52,1292.8550278507219,1288.405388397471,1283.9712062291078,1279.5713773028697,1262.4679334362822,12/25/16
53,1340.450752590343,1335.8373150199734,1331.239903682617,1326.6782246560394,1308.546339719582,12/26/16
54,1340.407536133255,1335.7942472899895,1331.1969841631376,1326.6354520948835,1308.5045009729567,12/27/16
55,1388.0053282558863,1383.2282307081223,1378.4677278774898,1373.7443042923899,1354.692751932216,12/28/16
56,1371.8289008859338,1367.107472072363,1362.4024446192889,1357.7340137409,1339.0806903611876,12/29/16
57,1380.4289758464527,1375.6779503392013,1370.9434289957248,1366.2457534109492,1347.4066009396167,12/30/16
58,1437.4746992026573,1432.52735391823,1427.5971947087687,1422.7055341369032,1402.6337464849762,12/31/16
59,1463.764710597878,1458.7268896585651,1453.7065690588458,1448.7255088401523,1428.0856506820166,1/1/17
60,1460.0913117453952,1455.0661326099155,1450.0584099030816,1445.08984114189,1424.5293572188684,1/2/17
61,1623.365510767782,1617.7784282192824,1612.2107538735818,1606.6869280024052,1582.7249421422853,1/3/17
62,1595.0909665735257,1588.0241229519122,1580.9887315155818,1574.0085616715628,1549.3512770894372,1/4/17
63,1593.9694039574645,1586.9075387146393,1579.8771034586061,1572.901850946355,1548.2616962552204,1/5/17
64,1597.1987596264746,1590.1028093784794,1583.0385368601094,1576.0297399065125,1551.3244309027973,1/6/17
65,1597.1987609129153,1590.1028106604929,1583.038538137711,1576.0297411797394,1551.324432148227,1/7/17
66,1597.1987611802128,1590.1028109268705,1583.038538403172,1576.0297414442914,1551.3244324070035,1/8/17
67,1612.106736042002,1604.9445533770197,1597.8143441165114,1590.7401282202557,1565.8042249152888,1/9/17
68,1597.5978858649826,1590.17027088572,1583.1056986070475,1576.096604247104,1551.3902470607616,1/10/17
69,1597.5978858645346,1625.9253789097686,1618.701959033701,1611.5352645023072,1586.2733847357251,1/11/17
70,1658.8829522280341,1606.0918841396456,1598.956571523662,1591.8772923564509,1566.9235540892364,1/12/17
71,1642.0625634716143,1623.159757642256,1615.948618368647,1608.7941080082353,1583.5751892899616,1/13/17
72,1645.3543817962598,1623.159783258711,1615.9486438693045,1608.794133394062,1583.5752140946804,1/14/17
73,1667.3332907321546,1623.1599542954082,1615.9488141328409,1608.7943028908942,1583.575379711553,1/15/17
74,1814.5654962687913,1640.7688041730662,1633.4794338800602,1626.2473068494048,1600.754789010099,1/16/17
75,1820.1065218484594,1639.0148231252556,1631.7332451609293,1624.5088492661016,1599.0435824996966,1/17/17
76,1798.4219892708536,1613.7836913587048,1606.6142066128903,1599.5010236711385,1574.4277710064978,1/18/17
77,1794.0498239648462,1619.8552794524967,1612.6588207402085,1605.5188756577454,1580.3512897419012,1/19/17
78,1798.103028966879,1636.4510781145748,1629.180889997483,1621.9677945053372,1596.5423615442478,1/20/17
79,1844.2052155152537,1636.4514368747366,1629.1812471354951,1621.968150034748,1596.5427089348382,1/21/17
80,1851.171625038597,1636.4514910862697,1629.1813011019083,1621.968203758089,1596.542761428338,1/22/17
81,1846.9483746224432,1641.780993191223,1634.4871260720752,1627.2505375293033,1601.742291635989,1/23/17
82,1792.894513503328,1612.366936517361,1605.203745927442,1598.0968077136504,1573.04556729687,1/24/17
83,1838.8902976915265,1605.2162728446801,1598.0848501558344,1591.009430371445,1566.0692863506767,1/25/17
84,1837.0708938376135,1598.6723992932532,1591.5700487758727,1584.5234728599296,1559.6850002740991,1/26/17
85,1847.6354818985828,1609.3990139125149,1602.2490087441904,1595.155152408192,1570.15002118323,1/27/17
86,1812.9611084008911,1609.3987370105087,1602.248940636621,1595.1550846073885,1570.1499549345306,1/28/17
87,1812.838109125236,1609.3987360533472,1602.2488824242255,1595.15502665719,1570.1498983109345,1/29/17
88,1838.9886550750157,1636.3839196549427,1629.114801380788,1621.901998409381,1596.4775891255465,1/30/17
89,1834.3506247076243,1624.0382519321709,1616.8242503710517,1609.6658630120223,1584.4332609261885,1/31/17
90,1857.6043739042511,1648.729696000735,1641.4058766866156,1634.1386557413261,1608.5224273113042,2/1/17
91,1861.8713870758108,1639.6222959539396,1632.3393651491403,1625.1122855697804,1599.6375476809674,2/2/17
92,1883.0274533108525,1655.206290514597,1647.854241187791,1640.5584704634168,1614.841602212259,2/3/17
93,1884.3006255966188,1655.2063004086356,1647.8542889425933,1640.5585180031246,1614.8416486636822,2/4/17
94,1880.1309541954379,1655.206268005409,1647.8541325444094,1640.5583623093805,1614.8414965340974,2/5/17
95,1895.993994223602,1660.9407010764503,1653.5633726214603,1646.2423250591955,1620.4363567908185,2/6/17
96,1910.2961001878948,1675.9174801600516,1668.4735468052747,1661.0864853950525,1635.047825568888,2/7/17
97,1895.7070080303943,1668.7663434611866,1661.3539670054727,1653.9984189576116,1628.0708633408306,2/8/17
98,1885.6243108992267,1657.297645513519,1649.9362986625306,1642.631301612628,1616.8819324816652,2/9/17
99,1878.4458161853586,1649.1346310765043,1641.809605238034,1634.5405886046608,1608.9180463270668,2/10/17
100,1878.4461510754827,1649.1346310791068,1641.8096052505953,1634.5405886171654,1608.9180463392852,2/11/17
101,1878.4460702863819,1649.134631078479,1641.8096052475648,1634.5405886141489,1608.9180463363377,2/12/17
102,1888.531469436656,1660.6033290471446,1653.2272736918558,1645.907706060025,1620.106977294086,2/13/17
103,1880.998428745942,1652.0355370457173,1644.6976037868917,1637.4158007242372,1611.7481877453376,2/14/17
104,1901.676648993985,1673.8260733246807,1666.3912148547824,1659.0133568506938,1633.0071811249402,2/15/17
105,1903.3343770219112,1675.7150353166803,1668.271771883166,1660.885587832978,1634.8500637474908,2/16/17
106,1906.7149412483227,1669.441051976,1662.0259686929437,1654.6674371794968,1628.7293836769086,2/17/17
107,1905.113371371007,1669.4410395423686,1662.0259087404709,1654.667377556718,1628.729325477258,2/18/17
108,1904.3207398898664,1669.4410333888513,1662.0258790694477,1654.6673480488632,1628.7292966737223,2/19/17
109,1929.7278471106758,1663.9093082045933,1656.5196662965054,1649.1855124670267,1623.333382969472,2/20/17
110,1933.58661574713,1668.564248499085,1661.1538876434813,1653.7992161041382,1627.8747640640834,2/21/17
111,1949.7522582425968,1683.743429447248,1676.2656131056026,1668.8440352530918,1642.6837456517908,2/22/17
112,1975.1965056988229,1691.5018108767097,1683.9900270737064,1676.5342491241408,1650.253405057401,2/23/17
113,1970.1412974565444,1696.2916050129695,1688.7582175553125,1681.281320061762,1654.9260569574064,2/24/17
114,1970.1412712391818,1696.291605012766,1688.758217554331,1681.281320060786,1654.9260569564537,2/25/17
115,1977.5934973876151,1696.2916610184016,1688.758478703587,1681.281570940886,1654.9262932424176,2/26/17
116,1974.4135802971427,1694.1328373439478,1686.6092226470928,1679.1418306754135,1652.8200951429244,2/27/17
117,1957.715809792599,1673.6241172308232,1666.1917949223246,1658.8147997077622,1632.811702310932,2/28/17
118,1982.534808107918,1670.5210361203008,1663.103337149018,1655.7400136714782,1629.7851059613731,3/1/17
119,1979.0957621981956,1654.8697166167012,1647.5219636076524,1640.2276248873186,1614.515879820419,3/2/17
120,1985.1459611852788,1660.8739232910827,1653.4994776234228,1646.17867378073,1620.373642135327,3/3/17
121,1975.3392169600288,1660.8738452511616,1653.4990921573728,1646.1782813297252,1620.3732501818706,3/4/17
122,1975.3673660258473,1660.8738454694826,1653.4990932090534,1646.1782823746094,1620.3732512008266,3/5/17
123,1958.3641645075088,1641.5794474325428,1634.2905437881577,1627.0547775895018,1601.549519016933,3/6/17
124,1949.3303981237123,1631.527469439322,1624.2832856457464,1617.0918258058582,1591.7427424900286,3/7/17
125,1957.7522858306215,1633.0692779301082,1624.2276246939402,1615.454235829752,1588.5749722337296,3/8/17
126,1957.0613284113351,1632.4724524768994,1623.63395542297,1614.863697809708,1587.9941857526237,3/9/17
127,1936.1203378157422,1615.090199889294,1606.3461180689712,1597.6695491369676,1571.0864298944505,3/10/17
128,2014.5176891508918,1680.1998525033914,1671.1021288328673,1662.0746414466576,1634.4187814559982,3/11/17
129,2014.8183738920402,1680.4495778303606,1671.3504981057667,1662.3216651052571,1634.6616909647664,3/12/17
130,2043.5212462130298,1704.2903056458933,1695.0617750857973,1685.90448791007,1657.8517532179317,3/13/17
131,2062.919373813649,1720.366694282057,1711.050740363718,1701.8067019263774,1673.4889934130977,3/14/17
132,2062.866737491349,1720.5030409475382,1711.1870083969516,1701.9428969059963,1673.6235749397988,3/15/17
133,2024.0708633029528,1687.4372348884813,1677.4589093729821,1667.5602445633817,1638.990221188954,3/16/17
134,2024.1164255820543,1687.491381761583,1677.5126270777112,1667.6135374737598,1639.0424950431404,3/17/17
135,2024.116427381795,1687.4913832563072,1677.512628564319,1667.6135389523133,1639.042496497069,3/18/17
136,2150.030936812022,1791.163651568011,1779.7258862379863,1768.3834327822046,1737.2608774192254,3/19/17
137,2290.559139095773,1907.8027837747295,1895.6058019201785,1883.5105674471968,1850.3478875049996,3/20/17
138,2279.2978921671724,1898.5034174743014,1886.3664763007089,1874.3307830149279,1841.3303090272098,3/21/17
139,2214.5046962359324,1842.9327621732155,1829.5231421726837,1816.082388560624,1782.372639071521,3/22/17
140,2214.493971693314,1842.9236302241823,1829.512905947717,1816.071963993387,1782.3621488728031,3/23/17
141,2231.8886798039234,1857.4010689163713,1843.7673715423548,1830.2215377144475,1796.2489141269116,3/24/17
142,2232.535503152148,1857.9149453499538,1844.4118138531924,1830.8323625499913,1796.2489178412463,3/25/17
143,2237.222006911811,1861.7982695012658,1849.5006582455917,1835.8827464951655,1799.8166834142346,3/26/17
144,2236.9254820405126,1861.550671128896,1849.3170290823152,1835.7004382780385,1799.627434861695,3/27/17
145,2226.2538101067526,1852.6688450596778,1840.56466310724,1827.0124805180578,1791.1021024311897,3/28/17
146,2222.116826847756,1849.226239297414,1837.132915156215,1823.6060064104886,1787.7661365966703,3/29/17
147,2215.0951470828168,1843.3828340722478,1831.329551545177,1817.8453721650208,1782.1210734116573,3/30/17
148,2222.299711883959,1849.3681047385405,1838.046586087714,1824.512555926869,1788.54730986834,3/31/17
149,2223.015195568385,1849.9610119157353,1838.8236099422802,1825.2837638996855,1789.280797815219,4/1/17
150,2221.894047606697,1849.031938775912,1837.6060298217376,1824.0752971441448,1788.1314375510144,4/2/17
151,2243.496080934281,1866.9980913082381,1856.268234113772,1842.599681136878,1806.1939897263157,4/3/17
152,2222.4877880618187,1849.5149007597713,1838.9197718543664,1825.3789463254943,1789.3093922477412,4/4/17
153,2234.110607110339,1859.1883597727026,1848.4513618044423,1834.840394198808,1798.5942463054234,4/5/17
154,2261.5831059658335,1882.041429869776,1871.8512300100112,1858.067617448495,1821.2812491720422,4/6/17
155,2232.653803254753,1857.9658286696667,1847.9995211034256,1834.3914965875342,1798.062662229393,4/7/17
156,2232.822167962836,1858.1053491730302,1848.1823671937996,1834.5729741082737,1798.2352637206257,4/8/17
157,2234.2084608194896,1859.2541426427051,1849.6878978470952,1836.067236139244,1799.6564416923482,4/9/17
158,2240.2444930658044,1864.273888767522,1854.9283022677405,1841.2689275940338,1804.7254458099355,4/10/17
159,2276.8439697497206,1894.7368493083654,1884.8032472355133,1870.9240973163696,1833.8442025371744,4/11/17
160,2291.608831091449,1907.0337364876466,1896.2939339537422,1882.3305427186438,1845.113464340865,4/12/17
161,2282.914682332501,1899.7965799803399,1889.2509155964538,1875.3393086207036,1838.2420728980248,4/13/17
162,2282.043674470017,1899.0747929930847,1888.304990621123,1874.4004637212724,1837.3491467162166,4/14/17
163,2283.012150428466,1899.877349863564,1889.3567671165633,1875.4443678614928,1838.3419937122067,4/15/17
164,2284.1057265462705,1900.7835747616411,1890.5444038840503,1876.6231153844049,1839.4630889278144,4/16/17
165,2282.4300731241306,1899.3949939148501,1888.7246241894331,1874.8169564088669,1837.7452688291557,4/17/17
166,2298.6867327451523,1911.1025805312263,1891.4667967342893,1877.538622204877,1840.3380895917894,4/18/17
167,2342.897795605408,1947.858619992659,1897.30093590108,1883.3296402344747,1845.9761386390574,4/19/17
168,2333.4991331494707,1940.044803062227,1896.625348111114,1882.6590643147144,1845.3276827035954,4/20/17
169,2378.989140467395,1977.8637227839076,1880.5337077730553,1866.6856368670328,1829.6037604313028,4/21/17
170,2372.8168173444305,1972.7322093223186,1880.322741154832,1866.4762492954658,1829.4046139642871,4/22/17
171,2328.627168918036,1935.0386647869939,1878.733807487567,1864.8602246313274,1827.8305515636764,4/23/17
172,2316.712387699174,1924.2136259000831,1875.9832957139515,1862.0926559898396,1825.0945482517438,4/24/17
173,2319.5971266955853,1926.604866718767,1867.6478680365683,1853.8182713944238,1816.9704657742843,4/25/17
174,2307.467047273198,1916.1318687584903,1868.5479620428746,1854.696072480481,1817.9863180289283,4/26/17
175,2319.5192997379036,1924.262223817877,1874.516286538151,1858.7999568695068,1820.3965972552326,4/27/17
176,2325.5074536659627,1929.2296190753977,1879.3525161453233,1863.595299134093,1825.0954487700203,4/28/17
177,2322.1157030756176,1926.4158833586114,1876.6118787959485,1860.8776831525608,1822.433641483755,4/29/17
178,2466.386489832177,2046.1002034024862,1993.186829704146,1976.4732614586835,1935.655142908519,4/30/17
179,2526.2126630099356,2095.7309064478536,2041.5281754580362,2024.408520321983,1982.6059401893056,5/1/17
180,2518.3014450729497,2089.1677774418094,2035.134567267295,2018.068497853971,1976.3970543699018,5/2/17
181,2622.892558365661,2175.9044865972287,2119.590765480937,2101.7858194812156,2058.3639504438065,5/3/17
182,2666.431563179327,2212.023651844177,2154.7750780318243,2136.674567753771,2092.5319739675783,5/4/17
183,2641.0750564010127,2190.988355315714,2134.28423020335,2116.355851999306,2072.632992985573,5/5/17
184,2670.836873310362,2215.678217761,2158.3350605967175,2140.20464569788,2095.989123141828,5/6/17
185,2852.9548709188853,2366.7599989392215,2305.50648784534,2286.139773482258,2238.909552660441,5/7/17
186,2871.1719751783003,2381.8725738663848,2320.2278842514334,2300.7375006027464,2253.205750481871,5/8/17
187,3065.522943669301,2543.102606383861,2477.2849100417748,2456.4751848844703,2405.7262297906454,5/9/17
188,3166.5422369497774,2626.9063763404606,2558.9196407910476,2537.4241509817166,2485.002967980396,5/10/17
189,3180.4712729708504,2638.4616546843013,2570.175866465855,2548.58582291972,2495.934040592349,5/11/17
190,3097.9345079839472,2567.6012815701015,2498.6784997663203,2475.2411642472384,2421.7095079989904,5/12/17
191,3097.9365558643976,2567.6031503429476,2498.680320170904,2475.242969359688,2421.7112758217927,5/13/17
192,3097.9382716360215,2567.6047160532016,2498.681845356872,2475.2444817334776,2421.7127569532718,5/14/17
193,3099.4870559019023,2568.6597104588363,2499.6670454805776,2476.179361332394,2423.406116264113,5/15/17
194,3157.749796429912,2616.9441738868386,2546.65460517072,2522.725398849112,2468.2310676058214,5/16/17
195,3153.9827305439167,2613.822261405854,2543.616545437505,2519.715885756182,2465.0940267260494,5/17/17
196,3368.806003248102,2789.119812422123,2711.5472983470318,2683.4378544047827,2623.2681198354776,5/18/17
197,3523.6383027141137,2917.3075318027145,2836.1679793826142,2806.7648527317415,2743.839249101468,5/19/17
198,3457.5321601358037,2861.1637300339034,2780.2121653742015,2750.0298754471064,2687.041738860454,5/20/17
199,3530.187654028859,2919.92065821875,2835.979940262666,2803.881157031959,2738.385057601105,5/21/17
200,3857.0810228962087,3190.2763117339837,3098.537061493601,3063.4404895439907,2991.881312101672,5/22/17
201,3804.5534503146714,3146.830243460275,3056.340945783062,3021.722937791579,2951.1367540190213,5/23/17
202,4022.4447512958964,3327.0484201621225,3231.372410698964,3194.767517206318,3120.1496254019676,5/24/17
203,3937.654916419499,3253.73052117914,3157.154896276445,3118.3494825477032,3042.5405860639466,5/25/17
204,3947.544424674195,3258.751063192216,3159.227274761061,3117.394390659104,3038.682700857071,5/26/17
205,3872.528530650077,3195.248358431404,3096.127629421382,3053.6224434051296,2975.051221550475,5/27/17
206,3943.071881721351,3251.9333836898813,3149.5893015484476,3104.899432070714,3023.5967785231874,5/28/17
207,3966.7505980878614,3271.4617438217974,3168.505618342749,3123.547375664088,3041.7564509851973,5/29/17
208,3960.0573621305675,3265.941960005379,3163.157935155033,3118.275822735544,3036.6231803582973,5/30/17
209,4152.079298073414,3424.2804445777037,3316.509048006772,3269.42647663239,3183.7921252793703,5/31/17
210,4170.79641017327,3439.7170740182487,3331.458725601767,3284.164256654395,3198.1442121788164,6/1/17
211,4368.4722081145255,3602.738752139116,3489.3637216528464,3439.823368829504,3349.722139397489,6/2/17
212,4352.12373195946,3589.2563251936285,3476.3043555549743,3426.9497773438216,3337.186107544207,6/3/17
213,4374.888944291917,3608.030571139222,3494.489490323834,3444.8762214278518,3354.642500680762,6/4/17
214,4978.545467658745,4105.861237234752,3976.6954347908604,3920.2236261027624,3817.526779611321,6/5/17
215,4834.046546318093,3982.791387458521,3853.711316193059,3795.2694805638707,3692.60348723489,6/6/17
216,4768.700845401273,3928.953103676106,3801.6183556986325,3743.966814700742,3643.0995041296433,6/7/17
217,4886.212271820017,4021.8816142746923,3887.7753462696987,3728.3058456033114,3628.9198400972873,6/8/17
218,4916.622226794275,4046.911921939044,3911.970675621579,3728.49440470498,3629.299564366293,6/9/17
219,5007.219747396167,4121.482386403535,3984.0535876617573,3730.3365729140464,3631.6662050962404,6/10/17
220,4908.355790711554,4038.1117414623436,3901.5345329438655,3728.1783848024024,3628.83022189208,6/11/17
221,4981.60268318065,4096.362089502902,3955.874582804181,3738.7425328829786,3635.952189316432,6/12/17
222,4905.166575522417,4033.508879760232,3895.1770159018965,3682.9014102103492,3581.63459560646,6/13/17
223,4811.856456225325,3954.7640740057273,3817.1858810317963,3607.91927584609,3506.9195415238064,6/14/17
224,4811.869662829923,3954.774933765513,3817.1963683437534,3607.929031809191,3506.9290304627643,6/15/17
225,4811.877288608791,3954.781204425475,3817.2024239442912,3607.934665113096,3506.9345095811586,6/16/17
226,4811.894589861914,3954.7954312050783,3817.216162800287,3607.9474458688023,3506.946940523083,6/17/17
227,4927.2992229471465,4047.6910457685376,3904.9967230048837,3689.1367296147264,3584.1361946751827,6/18/17
228,4895.365437929475,4021.4571342537392,3879.6868145096746,3665.2251204313857,3560.904402445321,6/19/17
229,5027.186774561965,4129.749630087401,3984.165064301806,3763.931248810388,3656.8042747095697,6/20/17
230,5131.549396447049,4215.48452767222,4066.880232853543,3842.0766433035246,3732.7279632687623,6/21/17
231,5105.928514380156,4194.436726645752,4046.5737712073346,3822.8920549881404,3714.0888007456083,6/22/17
232,5010.215069768273,4113.739884058553,3966.7246962517393,3745.570089227024,3637.1343810640765,6/23/17
233,5010.180234350125,4113.710549268131,3966.6957027827634,3745.54204388909,3637.1064979766056,6/24/17
234,5010.180010625416,4113.710365476131,3966.6955254642303,3745.541876366893,3637.1063352171345,6/25/17
235,5010.1803541925165,4113.710647719809,3966.6957977668053,3745.5421336255376,3637.106585161809,6/26/17
236,5010.181814035332,4113.711846994721,3966.696954801214,3745.5432267371384,3637.1076471957945,6/27/17
237,5010.181228566695,4113.711366026605,3966.6964907736137,3745.5427883457223,3637.107221268028,6/28/17
238,5010.180175801817,4113.710478447258,3966.6956125337833,3745.5419379147224,3637.106374892586,6/29/17
239,5010.180176294822,4113.710478852266,3966.6956129245254,3745.5419382838772,3637.1063752512455,6/30/17
240,5010.180175278865,4113.7104779968095,3966.695612079096,3745.541937466161,3637.106374438323,7/1/17
241,5198.166300111009,4266.00311032054,4111.563734496484,3880.4635429666546,3766.3079368657627,7/2/17
242,5275.200994992321,4329.225573863516,4172.499363526416,3937.9759944521966,3822.1302815140484,7/3/17
243,5273.52075457934,4327.846598605461,4171.170267504887,3936.7215629861603,3820.9127137730466,7/4/17
244,5295.683699379283,4346.03575313873,4188.701497876098,3953.26794237466,3836.9728480404633,7/5/17
245,5196.401145998093,4262.412813704974,4106.0391362470555,3873.301091286079,3757.465009833103,7/6/17
246,5196.413019699101,4262.422558465179,4106.04852852726,3873.3099559366656,3757.4736139799866,7/7/17
247,5196.447013935701,4262.450457574631,4106.0754184915,3873.3353353048356,3757.498247529772,7/8/17
248,5196.394076798176,4262.405985035904,4106.0315647576035,3873.293010923177,3757.456260163228,7/9/17
249,5196.392839016186,4262.404969186788,4106.030585653003,3873.292086821683,3757.4553632181187,7/10/17
250,5228.039107784314,4286.2605548176225,4126.987450294992,3891.1541024207677,3772.935056647352,7/11/17
251,5160.197952150108,4230.640239947618,4073.4338728471807,3840.660747006062,3723.9757126139043,7/12/17
252,5124.500915458153,4201.373633237111,4045.254753531352,3814.0918723445307,3698.21401259512,7/13/17
253,5026.977562194607,4119.318550371658,3964.2271900074593,3735.788515636651,3620.441485732003,7/14/17
254,5026.94560601538,4119.291726709458,3964.20076220734,3735.763031489259,3620.4162264997876,7/15/17
255,5026.94512535415,4119.291332634082,3964.200382775001,3735.7626737388923,3620.4158796180423,7/16/17
256,5989.2726532934985,4905.457588338118,4718.454780671873,4444.375668187577,4305.041396298468,7/17/17
257,5875.482492951939,4809.807706742705,4624.093522475694,4353.274801162068,4214.6454871778715,7/18/17
258,5875.483076688491,4809.808184847086,4624.093982354491,4353.2752343284465,4214.645906764557,7/19/17
259,6827.195079658042,5586.163817208904,5367.843483259211,5050.992259473119,4887.751962000965,7/20/17
260,7146.365695879272,5847.316067236343,5618.789017339539,5287.124811247158,5116.252829893503,7/21/17
261,7191.921407536921,5884.590796635119,5654.6069885935885,5320.828555355577,5148.867343765478,7/22/17
262,7054.461009888438,5769.223816739864,5540.968106938643,5211.280933321059,5040.32811550077,7/23/17
263,7052.278234812584,5767.390957645888,5539.161848051231,5209.538919527189,5038.601194206301,7/24/17
264,7052.273195288762,5767.3868565252205,5539.15792856393,5209.535251390568,5038.597668882187,7/25/17
265,7078.796338574855,5786.209746680678,5554.484281587021,5221.364195231992,5047.540520984832,7/26/17
266,7167.82370497971,5858.953886352197,5624.289421818875,5286.958715842486,5110.928140622846,7/27/17
267,7181.409442472077,5870.059382361171,5634.950656346138,5296.98102255658,5120.617237859007,7/28/17
